url,max_intra,min_inter,url_mas_cercana,access_id_url,access_id_url_mas_cercana,riesgo_solape,solape_exacto,distancia_wasserstein_min,distancia_lcss_min,distancia_watson_min
casalemedia.com,0.30676247771836,0.21200886023372165,nih.gov,captura_0000185_H123.csv:linea_59,captura_0000133_H123.csv:linea_23,True,False,0.06451612903225806,0.35950159143518523,0.21200886023372165
tumblr.com,0.3266944635451129,0.21240601503759401,wordpress.org,captura_0000143_H123.csv:linea_7,captura_0000044_H123.csv:linea_63,True,False,0.047619047619047616,0.3771929824561404,0.21240601503759401
wordpress.org,0.3075835150807723,0.21240601503759401,tumblr.com,captura_0000044_H123.csv:linea_63,captura_0000143_H123.csv:linea_7,True,False,0.047619047619047616,0.3771929824561404,0.21240601503759401
nginx.com,0.2529540990715233,0.22108811779768556,intuit.com,captura_0000125_H123.csv:linea_79,captura_0000077_H123.csv:linea_27,True,False,0.05017921146953405,0.39199702412583703,0.22108811779768556
amazonvideo.com,0.3862161915204677,0.22138986813148726,snapchat.com,captura_0000196_H123.csv:linea_11,captura_0000110_H123.csv:linea_59,True,False,0.06504065040650407,0.3777390858564704,0.22138986813148726
snapchat.com,0.4354496128772162,0.22138986813148726,amazonvideo.com,captura_0000110_H123.csv:linea_59,captura_0000196_H123.csv:linea_11,True,False,0.06504065040650407,0.3777390858564704,0.22138986813148726
instagram.com,0.4371534986543637,0.22269069664903,facebook.com,captura_0000014_H123.csv:linea_71,captura_0000004_H123.csv:linea_43,True,False,0.047619047619047616,0.39776234567901236,0.22269069664903
nist.gov,0.249941608701582,0.2244464518670206,yandex.net,captura_0000126_H123.csv:linea_3,captura_0000085_H123.csv:linea_7,True,False,0.08239700374531835,0.3664958999887229,0.2244464518670206
linkedin.com,0.3336213119899561,0.22602369327678715,samsung.com,captura_0000020_H123.csv:linea_9,captura_0000102_H123.csv:linea_75,True,False,0.057971014492753624,0.3940763720608207,0.22602369327678715
nic.ru,0.2446064814814814,0.23326982422041495,nginx.com,captura_0000086_H123.csv:linea_31,captura_0000125_H123.csv:linea_55,True,False,0.08421052631578947,0.38232912212504044,0.23326982422041495
adriver.ru,0.2561276546629732,0.23458450381527304,ntp.org,captura_0000166_H123.csv:linea_87,captura_0000073_H123.csv:linea_75,True,False,0.0909090909090909,0.3782599167214552,0.23458450381527304
dns.google,0.2722016079158936,0.2356753812636165,digicert.com,captura_0000146_H123.csv:linea_3,captura_0000053_H123.csv:linea_15,True,False,0.1176470588235294,0.35370370370370363,0.2356753812636165
w3.org,0.4349904214559387,0.23639112903225806,whatsapp.com,captura_0000181_H123.csv:linea_55,captura_0000058_H123.csv:linea_75,True,False,0.12903225806451613,0.34375,0.23639112903225806
paypal.com,0.445397337054614,0.25198363648040895,snapchat.com,captura_0000152_H123.csv:linea_27,captura_0000110_H123.csv:linea_15,True,False,0.07407407407407407,0.4298931988867438,0.25198363648040895
amazon.com,0.7987722679189883,0.2520538328346067,pinterest.com,captura_0000025_H123.csv:linea_75,captura_0000045_H123.csv:linea_35,True,False,0.09597523219814241,0.408132433471071,0.2520538328346067
pinterest.com,0.4560129449329983,0.2520538328346067,amazon.com,captura_0000045_H123.csv:linea_35,captura_0000025_H123.csv:linea_75,True,False,0.09597523219814241,0.408132433471071,0.2520538328346067
europa.eu,0.2839713287290192,0.2574175059548467,nih.gov,captura_0000109_H123.csv:linea_63,captura_0000133_H123.csv:linea_59,True,False,0.1267605633802817,0.38807444852941175,0.2574175059548467
kaspersky.com,0.3323955938697318,0.2577204335016835,nic.ru,captura_0000192_H123.csv:linea_43,captura_0000086_H123.csv:linea_11,True,False,0.06397306397306397,0.451467803030303,0.2577204335016835
android.com,0.3349946513748597,0.26483866442199777,google-analytics.com,captura_0000197_H123.csv:linea_3,captura_0000069_H123.csv:linea_35,True,False,0.07575757575757576,0.45391975308641974,0.26483866442199777
t-online.de,0.378571506264996,0.2665036783002151,paypal.com,captura_0000140_H123.csv:linea_43,captura_0000152_H123.csv:linea_79,True,False,0.08843537414965986,0.44457198245077034,0.2665036783002151
roblox.com,0.4309291213917103,0.26905498408333944,myfritz.net,captura_0000072_H123.csv:linea_71,captura_0000150_H123.csv:linea_31,True,False,0.13636363636363638,0.40174633180304253,0.26905498408333944
forbes.com,0.3503743194340193,0.27566073803191493,doubleclick.net,captura_0000170_H123.csv:linea_75,captura_0000032_H123.csv:linea_39,True,False,0.07801418439716312,0.47330729166666674,0.27566073803191493
linkos.bg,0.295641121031746,0.2793578296703297,applovin.com,captura_0000194_H123.csv:linea_59,captura_0000151_H123.csv:linea_67,True,False,0.23076923076923075,0.32794642857142864,0.2793578296703297
discord.gg,0.3070389896561771,0.28481737260006407,linkedin.com,captura_0000178_H123.csv:linea_7,captura_0000020_H123.csv:linea_4,True,False,0.12408759124087591,0.44554715395925226,0.28481737260006407
telekom.de,0.7033183619265246,0.2870224612648855,github.com,captura_0000095_H123.csv:linea_11,captura_0000036_H123.csv:linea_23,True,False,0.047619047619047616,0.5264258749107233,0.2870224612648855
azure.com,0.3177131501299158,0.2974552863693915,microsoft.com,captura_0000019_H123.csv:linea_51,captura_0000002_H123.csv:linea_11,True,False,0.05777777777777778,0.5371327949610052,0.2974552863693915
